"","School.Name","Total.Enrollment","X..Female","X..Male","elem","mid","high","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Asian","X..Black","X..Hispanic","X..Multiple.Race.Categories.Not.Represented","X..White","X..Poverty"
"1","1",958,679,279,0,0,1,0,0,1,0,0,0,0,0,304,253,198,202,21,264,616,15,42,828
"2","2",1741,135,1606,0,0,1,0,0,0,0,0,0,0,0,566,428,392,355,51,870,732,39,49,1425
"3","3",7172,3614,3557,0,0,1,0,0,0,0,0,0,0,0,2923,1764,1280,1205,364,2060,4434,166,148,6098
"4","4",2811,1356,1455,1,0,0,499,484,445,383,365,0,0,0,0,0,0,0,480,82,1339,87,823,1823
"5","5",9896,3898,5998,0,0,1,0,0,0,0,0,0,0,0,3100,2682,2191,1923,1572,4029,2364,135,1796,7670
"6","6",1698,870,828,1,1,0,211,188,157,154,167,176,198,170,0,0,0,0,6,767,889,21,15,1589
"7","7",2765,1385,1380,0,0,1,0,0,0,0,0,0,0,0,719,715,679,652,184,370,1498,164,549,1641
"8","8",1991,827,1164,0,1,1,0,0,0,0,0,209,225,246,338,404,299,270,23,1532,304,95,37,1643
"9","9",1468,556,912,0,0,1,0,0,0,0,0,0,0,0,450,377,324,317,80,1136,146,21,85,1202
"10","10",1396,667,729,0,0,1,0,0,0,0,0,0,0,0,391,367,330,308,49,228,1075,3,41,1112
"11","11",1698,1193,505,0,0,1,0,0,0,0,0,0,0,0,439,459,414,386,61,1358,203,55,21,1410
"12","12",352,161,191,0,1,0,0,0,0,0,0,61,123,168,0,0,0,0,56,6,242,0,48,324
"13","13",2028,909,1119,0,1,0,0,0,0,0,0,605,724,699,0,0,0,0,41,249,1688,20,30,1873
"14","14",1859,933,926,0,0,1,0,0,0,0,0,0,0,0,496,476,470,417,43,1167,571,40,38,1451
"15","15",2281,437,1844,0,0,1,0,0,0,0,0,0,0,0,601,606,531,543,218,530,1213,85,235,1603
"16","16",2789,1716,1073,0,1,1,0,0,0,0,0,349,346,344,473,435,423,419,31,1947,736,47,28,2273
"17","17",4959,2887,2072,0,0,1,0,0,0,0,0,0,0,0,1193,1306,1279,1181,1299,268,1698,19,1675,3328
"18","18",1214,534,680,0,1,0,0,0,0,0,0,402,409,403,0,0,0,0,18,330,848,6,12,1144
"19","19",2602,1387,1215,1,1,0,271,272,281,284,293,314,321,313,0,0,0,0,167,870,413,199,953,690
"20","20",3005,1567,1438,0,0,1,0,0,0,0,0,0,0,0,749,797,773,686,728,146,1566,108,457,2457
"21","21",1063,555,508,0,0,1,0,0,0,0,0,0,0,0,330,333,187,213,24,838,150,9,42,947
"22","22",2084,382,1702,0,0,1,0,0,0,0,0,0,0,0,603,558,490,433,115,859,1000,67,43,1756
"23","23",3189,1580,1609,0,1,1,0,0,0,0,0,390,370,366,633,554,461,415,211,1345,1419,85,129,2556
"24","24",1081,506,575,0,1,0,0,0,0,0,0,340,347,394,0,0,0,0,2,245,813,6,15,933
"25","25",2183,1120,1063,1,1,0,332,371,353,359,354,103,0,0,0,0,0,0,468,203,1140,47,325,1552
"26","26",436,213,223,0,1,0,0,0,0,0,0,149,134,153,0,0,0,0,6,109,312,1,8,382
"27","27",4059,2051,2008,1,1,1,487,484,492,479,506,504,388,259,2,0,0,0,212,2462,1290,60,35,3421
"28","28",2823,1464,1359,1,1,0,471,465,478,351,313,196,98,0,0,0,0,0,37,2095,611,69,11,2331
"29","29",5061,2723,2338,1,1,1,446,471,467,454,477,459,464,443,426,305,148,77,41,4346,597,51,26,4178
"30","30",5089,2463,2626,1,1,1,477,511,515,514,517,504,474,468,192,179,161,115,52,1566,3402,16,53,4397
"31","31",5653,2978,2675,1,1,1,486,477,474,473,502,461,447,430,413,379,349,301,9,5301,252,67,24,4409
"32","32",4820,2569,2251,1,1,1,450,504,488,463,319,300,314,312,373,339,279,198,33,3505,1182,73,27,4106
"33","33",4720,2446,2274,1,1,1,434,472,463,451,472,475,445,446,179,162,148,138,34,4008,594,51,33,3745
"34","34",2263,1143,1120,1,1,0,453,472,377,275,190,83,0,0,0,0,0,0,35,1838,350,30,10,1938
"35","35",2138,1046,1092,1,1,0,440,437,333,243,195,95,0,0,0,0,0,0,23,414,1640,8,53,1877
"36","36",802,443,359,1,1,0,47,0,0,0,270,221,126,62,0,0,0,0,7,716,39,37,3,605
"37","37",1081,486,595,0,0,1,0,0,0,0,0,0,0,0,307,280,265,229,22,865,153,15,26,905
"38","38",108,37,71,0,0,1,0,0,0,0,0,0,0,0,108,0,0,0,2,20,78,7,1,94
"39","39",3181,1438,1743,0,1,0,0,0,0,0,0,1103,1061,1017,0,0,0,0,903,496,1457,30,295,2758
"40","40",2212,250,1962,0,0,1,0,0,0,0,0,0,0,0,741,554,488,429,16,517,1633,17,29,2017
"41","41",2096,1156,940,0,1,1,0,0,0,0,0,300,300,302,328,318,292,256,136,199,1582,8,171,1783
"42","42",2478,1246,1232,1,0,0,483,447,392,342,290,0,0,0,0,0,0,0,39,790,1600,14,35,2122
"43","43",1045,516,529,1,0,0,309,250,126,37,0,0,0,0,0,0,0,0,18,161,842,10,14,806
"44","44",166,84,82,0,1,0,0,0,0,0,0,84,82,0,0,0,0,0,0,12,151,1,2,153
"45","45",2080,1077,1003,1,1,0,230,239,228,235,215,233,225,235,0,0,0,0,28,32,1912,12,96,1643
"46","46",1959,929,1030,1,0,0,304,290,326,346,331,0,0,0,0,0,0,0,80,264,1222,65,328,1001
"47","47",3729,1808,1921,0,1,0,0,0,0,0,0,1166,1228,1335,0,0,0,0,661,2219,529,49,271,3163
"48","48",2081,1014,1067,0,1,1,0,0,0,0,0,281,310,320,349,314,250,257,131,400,1486,35,29,1638
"49","49",3310,1321,1989,0,1,1,0,0,0,0,0,478,474,483,570,478,427,400,308,975,1930,36,61,2648
"50","50",7279,4599,2680,0,0,1,0,0,0,0,0,0,0,0,2133,1999,1758,1389,582,1260,3950,353,1134,4490
"51","51",894,521,373,0,0,0,0,0,0,0,0,0,0,0,0,460,199,235,4,338,515,11,26,747
"52","52",437,191,246,0,0,1,0,0,0,0,0,0,0,0,42,97,114,184,1,353,73,6,4,361
"53","53",2424,1069,1355,0,0,1,0,0,0,0,0,0,0,0,820,690,478,436,174,734,1163,74,279,1889
"54","54",1592,763,829,0,1,0,0,0,0,0,0,656,544,392,0,0,0,0,22,294,1231,9,36,1416
"55","55",1860,779,1081,0,0,1,0,0,0,0,0,0,0,0,599,528,395,338,200,1268,275,98,19,1493
"56","56",10498,2093,8405,0,0,1,0,0,0,0,0,0,0,0,2620,2395,2305,3178,3681,480,4840,429,1068,6055
"57","57",2635,1522,1113,0,0,1,0,0,0,0,0,0,404,426,523,491,416,375,1224,90,459,105,757,1093
"58","58",726,387,339,0,1,0,0,0,0,186,199,117,115,109,0,0,0,0,222,159,144,51,150,377
"59","59",2899,1753,1146,0,0,1,0,0,0,0,0,0,0,0,792,765,702,640,771,398,514,66,1150,1243
"60","60",3100,1902,1198,0,0,1,0,0,0,0,0,0,0,0,805,804,750,741,1071,345,575,88,1021,1337
"61","61",2307,1342,965,0,0,1,0,0,0,0,0,0,0,0,572,586,586,563,928,101,317,87,874,987
"62","62",4252,2036,2216,1,1,0,450,447,476,484,501,485,452,426,0,0,0,0,864,175,522,375,2316,519
"63","63",2079,1080,999,1,0,0,290,320,324,350,360,0,0,0,0,0,0,0,43,1495,456,56,29,1770
"64","64",1472,656,816,0,1,0,0,0,0,0,0,485,487,500,0,0,0,0,22,964,427,46,13,1253
"65","65",15226,7349,7877,0,0,1,0,0,0,0,0,0,0,0,5343,3648,3485,2750,6375,1935,3991,269,2656,11212
"66","66",6882,4359,2520,0,0,1,0,0,0,0,0,0,0,0,1821,1769,1669,1623,598,965,1387,572,3360,1936
"67","67",1838,958,878,0,0,1,0,0,0,0,0,0,0,0,487,474,442,435,65,1458,164,98,53,1404
"68","68",1769,833,936,1,0,0,416,321,235,140,66,0,0,0,0,0,0,0,213,124,1198,30,204,1543
"69","69",1878,927,951,0,1,1,0,0,0,0,437,451,440,409,49,36,33,23,33,1234,543,53,15,1427
"70","70",3341,1765,1576,1,1,0,400,395,391,380,382,377,341,312,0,0,0,0,13,1797,1474,31,26,3081
"71","71",1767,970,797,1,1,0,258,265,259,256,202,154,95,37,0,0,0,0,18,412,1285,18,34,1637
"72","72",1835,892,943,0,1,0,0,0,0,0,0,621,632,582,0,0,0,0,638,75,509,28,585,887
"73","73",2016,1089,927,0,0,1,0,0,0,0,0,0,0,0,600,587,393,436,73,500,1392,23,28,1761
"74","74",4281,2296,1985,0,0,1,0,0,0,0,0,0,0,0,1170,1067,1031,1013,188,3496,457,100,40,2915
"75","75",1719,554,1165,0,0,1,0,0,0,0,0,0,0,0,601,553,322,243,255,1057,268,97,42,1437
"76","76",18130,9585,8544,0,0,1,0,0,0,0,0,0,0,0,5109,4641,4405,3975,7754,3859,3673,338,2506,11117
"77","77",2273,1182,1091,0,1,0,0,0,0,0,0,710,767,796,0,0,0,0,524,299,1284,46,120,2007
"78","78",120,59,61,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,3,44,66,5,2,103
"79","79",2098,677,1421,0,0,1,0,0,0,0,0,0,0,0,691,485,495,427,34,1743,222,58,41,1720
"80","80",2045,31,2014,1,1,0,519,398,251,152,91,55,0,0,0,0,0,0,14,933,1029,26,43,1816
